Track name, Artist name, Album, Playlist name, Type, ISRC
The Universe - Original Mix,Lush & Simon,The Universe,Favorite Songs,Favorite,NLF711505485
Twin Size Mattress,The Front Bottoms,Talon of the Hawk,Favorite Songs,Favorite,US37V1322204
I Want You,ODESZA,Summer's Gone,Favorite Songs,Favorite,TCABN1368410
Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],Rick and Morty,Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],Favorite Songs,Favorite,USNLR2000392
Pretty,Fox Academy,Pretty,Favorite Songs,Favorite,QZNWP2150013
Neptune,Sleeping At Last,Atlas: I,Favorite Songs,Favorite,USGES1480020
Feels Like We're Dying,Johnny Goth,Far Away,Favorite Songs,Favorite,QM4DW1703821
Youth,Dabin,Wild Youth,Favorite Songs,Favorite,USA2P1914479
Bruce Willis,Raffaella,Bruce Willis,Favorite Songs,Favorite,USQE91500586
So Funny,Haley Blais,Below the Salt,Favorite Songs,Favorite,CANLK2000009
Cure For Me,AURORA,Cure For Me,Favorite Songs,Favorite,GBUM72100848
Final Chapter,Snake City,Final Chapter,Favorite Songs,Favorite,SE5Q51902600
Zheng '21 - Original Live Recording,Kaya Project,Zheng '21 EP,Favorite Songs,Favorite,GB6J32100004
Mountains,Jome,Tunnels,Favorite Songs,Favorite,TCACY1721901
Baby,Four Tet,Sixteen Oceans,Favorite Songs,Favorite,GBXNG2051002
Happier,Marshmello,Happier,Favorite Songs,Favorite,USUG11801651
My Friends Never Die,ODESZA,My Friends Never Die,Favorite Songs,Favorite,TCABQ1356320
Asylums for the feeling feat. Leila Adu,Silent Poets,dawn,Favorite Songs,Favorite,JPB531800001
Downward Spiral,Yoe Mase,Downward Spiral,Favorite Songs,Favorite,USA2P2133241
Children Of A Miracle,Don Diablo,Children Of A Miracle,Favorite Songs,Favorite,NLZ541700138
Follow Your Fire - Syn Cole Remix,Kodaline,Follow Your Fire (Syn Cole Remix),Favorite Songs,Favorite,GBARL1800559
Starboy,The Weeknd,Starboy,Favorite Songs,Favorite,USUG11600976
The Queen of Hearts,Ezra Furman,The Year of No Returning,Favorite Songs,Favorite,ATT801209010
JEKYLL & HIDE,Bishop Briggs,CHAMPION,Favorite Songs,Favorite,USUG11902345
Bags,Clairo,Immunity,Favorite Songs,Favorite,US4HB1900080
You Are Enough,Sleeping At Last,Atlas: I,Favorite Songs,Favorite,USGES1480007
The Scientist,Coldplay,A Rush of Blood to the Head,Favorite Songs,Favorite,GBAYE0200772
The Internet,Kade McCuen,The Internet,Favorite Songs,Favorite,CAGOO2102867
You Are Enough (Acoustic),Sleeping At Last,You Are Enough (Acoustic),Favorite Songs,Favorite,USGES2106001
Medicine,FRND,Before U I Didn't Exist,Favorite Songs,Favorite,QMRSZ1801999
Warning,Martin Wave,Warning,Favorite Songs,Favorite,QZNWT2143937
Cosmic,Jordan Schor,Cosmic,Favorite Songs,Favorite,GB2LD1700138
Now Or Never,NCT,Astrophysical,Favorite Songs,Favorite,NLCK41069560
Afterdark,MYRNE,Afterdark,Favorite Songs,Favorite,CA6D21700088
Sweater Weather,The Neighbourhood,I Love You.,Favorite Songs,Favorite,USSM11300080
Neverland,Crywolf,Dysphoria,Favorite Songs,Favorite,GBKPL1513884
Outer Wilds (Original Soundtrack),Andrew Prahlow,Outer Wilds (Original Soundtrack),Favorite Albums,Album,
Surrender,RÜFÜS DU SOL,Surrender,Favorite Albums,Album,
Dysphoria,Crywolf,Dysphoria,Favorite Albums,Album,
Inside (The Songs),Bo Burnham,Inside (The Songs),Favorite Albums,Album,
maybe tomorrow...,Low Roar,maybe tomorrow...,Favorite Albums,Album,
Cure For Me,AURORA,Cure For Me,Favorite Albums,Album,
Everything And You,Dreams We've Had,Everything And You,Favorite Albums,Album,
An Unfiltered Stream Of Consciousness (Deluxe),Yoe Mase,An Unfiltered Stream Of Consciousness (Deluxe),Favorite Albums,Album,
'Til the End,MitiS,'Til the End,Favorite Albums,Album,
Snow Ghosts,Yoe Mase,Snow Ghosts,Favorite Albums,Album,
Life in Boxes,Yoe Mase,Life in Boxes,Favorite Albums,Album,
